barcode	ID	info
BC01	spm1	PIM_spm01_LA0373_Per
BC02	spe17	PEN_spe17_LA1943_Per
BC03	spm18	PIM_spm18_LA1245_Ecu
BC04	sc44	CHE_sc44_LA1447_Ecu
BC05	sn14	NEO_sn14_LA2073_Per
BC06	sn6	NEO_sn06_LA2133_Per
BC07	spm16	PIM_spm16_LA0442_Per
BC08	spe10	PEN_spe10_LA1367_Per
BC09	spm3	PIM_spm03_LA1593_Per
BC10	sg18	GAL_sg18_LA1410_Ecu
BC11	sg19	GAL_sg19_LA0426_Ecu
BC12	spm7	PIM_spm07_LA1335 _Per
BC13	spm2	PIM_spm02_LA1246_Ecu
BC14	sc3	CHE_sc03_LA0421_Ecu
BC15	spm19	PIM_spm19_LA1606_Per
BC16	sc1	CHE_sc01_LA0166_Ecu
BC17	sly4	LYC_sly4__
BC18	sc19	CHE_sc19_LA1412_Ecu
BC19	sc20	CHE_sc20_LA1450_Ecu
BC20	spm10	PIM_spm10_LA1602 _Per
BC21	spm8	PIM_spm08_LA1547 _Ecu
BC22	sn1	NEO_sn01_LA1716_Per
BC23	sg15	GAL_sg15_LA1401_Ecu
BC24	sc45	CHE_sc45_LA1448_Ecu
BC25	spm5	PIM_spm05_LA0411 _Ecu
BC26	spm20	PIM_spm20_LA1742_Per
BC27	spe21	PEN_spe21_LA2963_Per
BC28	spm23	PIM_spm23_LA3158_Mex
BC29	sc21	CHE_sc21_LA0422_Ecu
BC30	sc4	CHE_sc04_LA0429_Ecu
BC31	sg20	GAL_sg20_LA0438_Ecu
BC32	sg13	GAL_sg13_LA1137_Ecu
BC33	spe8	PEN_spe08_LA1920_Per
BC34	spe20	PEN_spe20_LA2580_Per
BC35	spm21	PIM_spm21_LA2170_Per
BC36	spm24	PIM_spm24_LA3161_Mex
BC37	sc22	CHE_sc22_LA0428_Ecu
BC38	sn3	NEO_sn03_LA1322_Per
BC39	sg22	GAL_sg22_LA0527_Ecu
BC40	sc31	CHE_sc31_LA1035_Ecu
BC41	spe9	PEN_spe09_LA3778_Per
BC42	sn4	NEO_sn04_LA1329_Per
BC43	spm22	PIM_spm22_LA2183_Per
BC44	spe11	PEN_spe11_LA1522_Per
BC45	sn9	NEO_sn09_LA2319_Per
BC46	spm12	PIM_spm12_LA2102 _Ecu
BC47	spe5	PEN_spe05_LA1656_Per
BC48	sc46	CHE_sc46_LA1449_Ecu
BC49	spm11	PIM_spm11_LA1683 _Per
BC50	sg5	GAL_sg05_LA0436_Ecu
BC51	sc23	CHE_sc23_LA0434_Ecu
BC52	sn8	NEO_sn08_LA2200_Per
BC53	spe3	PEN_spe03_LA1340_Per
BC54	sn18	NEO_sn18_LA4020_Ecu
BC55	spm9	PIM_spm09_LA1584 _Per
BC56	sc25	CHE_sc25_LA0522_Ecu
BC57	spe12	PEN_spe12_LA1302_Per
BC58	spe7	PEN_spe07_LA1732_Per
BC59	sg23	GAL_sg23_LA0528_Ecu
BC60	sn7	NEO_sn07_LA2190_Per
BC61	sn5	NEO_sn05_LA2113_Ecu
BC62	sg32	GAL_sg32_LA1403_Ecu
BC63	sc48	CHE_sc48_LA3124_Ecu
BC64	sc28	CHE_sc28_LA0529_Ecu
BC65	spe14	PEN_spe14_LA1657_Per
BC66	sc10	CHE_sc10_LA0749_Ecu
BC67	sg30	GAL_sg30_LA1044_Ecu
BC68	spe19	PEN_spe19_LA2560_Per
BC69	spe2	PEN_spe02_LA1273_Per
BC70	sn16	NEO_sn16_LA2862_Per
BC71	spe1	PEN_spe01_LA1282_Per
BC72	sg2	GAL_sg02_LA0317_Ecu
BC73	spe15	PEN_spe15_LA1724_Per
BC74	sc11	CHE_sc11_LA1036_Ecu
BC75	sg37	GAL_sg37_LA1508_Ecu
BC76	sn10	NEO_sn10_LA2325_Per
BC77	sc36	CHE_sc36_LA1043_Ecu
BC79	sg39	GAL_sg39_LA3909_Ecu
BC80	sn15	NEO_sn15_LA2403_Per
BC81	sc16	CHE_sc16_LA1406_Ecu
BC82	sg12	GAL_sg12_LA1136_Ecu
BC83	sc39	CHE_sc39_LA1402_Ecu
BC84	sn13	NEO_sn13_LA1326_Per
BC85	spe13	PEN_spe13_LA1303_Per
BC86	sc9	CHE_sc09_LA0746_Ecu
BC87	sg29	GAL_sg29_LA0930_Ecu
BC88	spe16	PEN_spe16_LA1809_Per
BC89	sn17	NEO_sn17_LA2865_Ecu
BC90	sg17	GAL_sg17_LA1408_Ecu
BC91	sc41	CHE_sc41_LA1407_Ecu
BC92	sn12	NEO_sn12_LA0247_Per
BC93	sn2	NEO_sn02_LA1626_Per
BC94	sc24	CHE_sc24_LA0437_Ecu
BC95	spm13	PIM_spm13_LA2852 _Ecu
BC96	spm4	PIM_spm04_LA0114 _Per
